UID	dnNameType	LAST NAME	FIRST NAME	ALIAS	ALTERNATIVE SPELLING	CATEGORY	TITLE	SUB-CATEGORY	POSITION	AGE	DOB	DOBS	PLACE OF BIRTH	DECEASED	PASSPORTS	SSN	IDENTIFICATION NUMBERS	LOCATIONS	COUNTRIES	CITIZENSHIP	E/I	dnCity	dnState	dnCountry	ENTERED	UPDATED	EDITOR	AGE DATE (AS OF DATE)	KEYWORDS
3802353	Primary	YUK TUNG				VESSEL											{INT-IMO}9030591	~,~	UNKNOWN	UNKNOWN	E					2019/12/19			EU~EU-DPRK
3802387	Primary	XIN GUANG HAI				VESSEL											{INT-IMO}9004700	~,~	UNKNOWN	UNKNOWN	E					2019/12/19			EU~EU-DPRK
3802388	Primary	ASIA BRIDGE 1				VESSEL											{INT-IMO}8916580	~,~	UNKNOWN	UNKNOWN	E					2019/12/19			EU~EU-DPRK
3802410	Primary	DONG FENG 6				VESSEL											{INT-IMO}9008201	~,~	UNKNOWN	UNKNOWN	E					2019/12/19			EU~EU-DPRK
3802412	Primary	HAO FAN 2				VESSEL											{INT-IMO}8747604	~,~	UNKNOWN	UNKNOWN	E					2019/12/19			EU~EU-DPRK
3802428	Primary	HUA FU				VESSEL											{INT-IMO}9020003	~,~	UNKNOWN	UNKNOWN	E					2019/12/20			EU~EU-DPRK
3998785	Primary	WAN HENG 11				VESSEL											{INT-IMO}8791667	~,~	KOREA, NORTH	KOREA, NORTH	E					2025/10/13			EU~EU-DPRK
3998785	Alias	WAN HENG 11		KUMJINGANG3		VESSEL											{INT-IMO}8791667	~,~	KOREA, NORTH	KOREA, NORTH	E					2025/10/13			EU~EU-DPRK
3998785	Alias	WAN HENG 11		Kum Jin Gang 3		VESSEL											{INT-IMO}8791667	~,~	KOREA, NORTH	KOREA, NORTH	E					2025/10/13			EU~EU-DPRK
4523629	Primary	SHANG YUAN BAO				VESSEL											{INT-IMO}8126070	~,~	UNKNOWN	UNKNOWN	E					2019/12/23			EU~EU-DPRK
4523705	Primary	NEW REGENT				VESSEL											{INT-IMO}8312497	~,~	UNKNOWN	UNKNOWN	E					2019/12/23			EU~EU-DPRK
4629310	Primary	KARAKUZ				VESSEL											{INT-IMO}9621558	~,~	UNKNOWN	UNKNOWN	E					2026/04/24			EUFSR-RUS~EUFSR-RUS-VES
4866883	Primary	DANSHUI				VESSEL											{INT-IMO}9589750	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
5135659	Primary	AURA				VESSEL											{INT-IMO}9624316	~,~	UNKNOWN	UNKNOWN	E					2025/08/08			EUFSR-RUS~EUFSR-RUS-VES
5287585	Primary	YI TONG				VESSEL											{INT-IMO}9259733	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
5287778	Primary	ETERNAL PEACE				VESSEL											{INT-IMO}9259745	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
5287901	Primary	FACCA				VESSEL											{INT-IMO}9271951	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
5315279	Primary	UNICA				VESSEL											{INT-IMO}8514306	~,~	UNKNOWN	UNKNOWN	E					2023/05/29			EU~EU-DPRK
5315279	Alias	UNICA		Unica		VESSEL											{INT-IMO}8514306	~,~	UNKNOWN	UNKNOWN	E					2023/05/29			EU~EU-DPRK
5318987	Primary	NEW KONK				VESSEL											{INT-IMO}9036387	~,~	UNKNOWN	UNKNOWN	E					2023/05/29			EU~EU-DPRK
5318987	Alias	NEW KONK		New Konk		VESSEL											{INT-IMO}9036387	~,~	UNKNOWN	UNKNOWN	E					2023/05/29			EU~EU-DPRK
5354049	Primary	CHRISTOPHE DE MARGERIE				VESSEL											{INT-IMO}9737187	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
5810101	Primary	UNITY				VESSEL											{INT-IMO}9388792	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
5837121	Primary	ALISSA				VESSEL											{INT-IMO}9273052	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
5940652	Primary	SKY RIDER				VESSEL											{INT-IMO}9208124	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
6354374	Primary	TEMIRO				VESSEL											{INT-IMO}9209972	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
6532409	Primary	XANTHOS EOS				VESSEL											{INT-IMO}9231212	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
6532409	Alias	XANTHOS EOS		Mermar		VESSEL											{INT-IMO}9231212	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
6532437	Primary	ARGENT				VESSEL											{INT-IMO}9293002	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
6532437	Alias	ARGENT		Jaguar		VESSEL											{INT-IMO}9293002	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
6532474	Primary	QUARTANUS				VESSEL											{INT-IMO}9247443	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
6532474	Alias	QUARTANUS		Morpheus		VESSEL											{INT-IMO}9247443	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
6532552	Primary	IRON WAVE				VESSEL											{INT-IMO}9248796	~,~	UNKNOWN	UNKNOWN	E					2025/10/24			EUFSR-RUS~EUFSR-RUS-VES
6532671	Primary	UTAKI				VESSEL											{INT-IMO}9262924	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
6532724	Primary	BRIONT				VESSEL											{INT-IMO}9252955	~,~	UNKNOWN	UNKNOWN	E					2025/10/23			EUFSR-RUS~EUFSR-RUS-VES
6532883	Primary	ANDAMAN SKIES				VESSEL											{INT-IMO}9288693	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
6532958	Primary	THOTH				VESSEL											{INT-IMO}9164718	~,~	UNKNOWN	UNKNOWN	E					2025/10/23			EUFSR-RUS~EUFSR-RUS-VES
6541793	Primary	SAURI				VESSEL											{INT-IMO}9266475	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
6546288	Primary	VAYU 1				VESSEL											{INT-IMO}9290517	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
6546306	Primary	NP DIKSON				VESSEL											{INT-IMO}9255270	~,~	UNKNOWN	UNKNOWN	E					2025/12/18			EUFSR-RUS~EUFSR-RUS-VES
6546424	Primary	HUANG HE				VESSEL											{INT-IMO}9306627	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
6546458	Primary	HUNTER STAR				VESSEL											{INT-IMO}9830769	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
6546512	Primary	CARIA KA				VESSEL											{INT-IMO}9327360	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
6546682	Primary	LUNAR TIDE				VESSEL											{INT-IMO}9277735	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
6546682	Alias	LUNAR TIDE		Beks Aqua		VESSEL											{INT-IMO}9277735	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
6546827	Primary	AZURE				VESSEL											{INT-IMO}9387255	~,~	UNKNOWN	UNKNOWN	E					2025/10/23			EUFSR-RUS~EUFSR-RUS-VES
6554374	Primary	NOVA ENERGY				VESSEL											{INT-IMO}9324277	~,~	UNKNOWN	UNKNOWN	E					2025/08/08			EUFSR-RUS~EUFSR-RUS-VES
6554420	Primary	ZAID				VESSEL											{INT-IMO}9715270	~,~	UNKNOWN	UNKNOWN	E					2025/12/18			EUFSR-RUS~EUFSR-RUS-VES
6554472	Primary	SAMSUN				VESSEL											{INT-IMO}9436006	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
6560351	Primary	ROZMARINE				VESSEL											{INT-IMO}9250531	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
6561036	Primary	BONIFACY				VESSEL											{INT-IMO}9284726	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
6578908	Primary	AQUILLA II				VESSEL											{INT-IMO}9281152	~,~	UNKNOWN	UNKNOWN	E					2025/10/23			EUFSR-RUS~EUFSR-RUS-VES
6578912	Primary	NEW POWER				VESSEL											{INT-IMO}9266853	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
6578989	Primary	CARL				VESSEL											{INT-IMO}9288851	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
6579383	Primary	WILMA II				VESSEL											{INT-IMO}9247431	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
6579469	Primary	MATROS KOSHKA				VESSEL											{INT-IMO}9550137	~,~	UNKNOWN	UNKNOWN	E					2025/12/18			EUFSR-RUS~EUFSR-RUS-VES
6580044	Primary	FIESTA				VESSEL											{INT-IMO}9260823	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
6592794	Primary	KATRAN				VESSEL											{INT-IMO}9260275	~,~	UNKNOWN	UNKNOWN	E					2025/08/08			EUFSR-RUS~EUFSR-RUS-VES
6592953	Primary	C VIKING				VESSEL											{INT-IMO}9261657	~,~	UNKNOWN	UNKNOWN	E					2025/10/24			EUFSR-RUS~EUFSR-RUS-VES
6623672	Primary	ODUNE				VESSEL											{INT-IMO}9229374	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
6623694	Primary	SPUTNIK ENERGY				VESSEL											{INT-IMO}9256602	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
6623694	Alias	SPUTNIK ENERGY		Pioneer		VESSEL											{INT-IMO}9256602	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
6623763	Primary	SAPPHIRE				VESSEL											{INT-IMO}9309576	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
6623763	Alias	SAPPHIRE		NS Silver		VESSEL											{INT-IMO}9309576	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
6623791	Primary	NIBLO				VESSEL											{INT-IMO}9332028	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
6624018	Primary	MIKHAIL NENASHEV				VESSEL											{INT-IMO}9515539	~,~	UNKNOWN	UNKNOWN	E					2025/12/18			EUFSR-RUS~EUFSR-RUS-VES
6665842	Primary	BRONCO				VESSEL											{INT-IMO}8808525	~,~	UNKNOWN	UNKNOWN	E					2025/10/23			EUFSR-RUS~EUFSR-RUS-VES
6696765	Primary	N CERNA				VESSEL											{INT-IMO}9289520	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
6696765	Alias	N CERNA		Canis Power		VESSEL											{INT-IMO}9289520	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
6697010	Primary	KIWALA				VESSEL											{INT-IMO}9332810	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
6697336	Primary	ANIKA				VESSEL											{INT-IMO}9417464	~,~	UNKNOWN	UNKNOWN	E					2026/04/24			EUFSR-RUS~EUFSR-RUS-VES
6697353	Primary	ONYX				VESSEL											{INT-IMO}9236640	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
6697400	Primary	MOTI				VESSEL											{INT-IMO}9281011	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
6697417	Primary	HANSON				VESSEL											{INT-IMO}9237412	~,~	UNKNOWN	UNKNOWN	E					2025/12/18			EUFSR-RUS~EUFSR-RUS-VES
6697443	Primary	VENETIANS				VESSEL											{INT-IMO}9436018	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
6697456	Primary	AMBER 6				VESSEL											{INT-IMO}9235713	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
6705080	Primary	ARMADA LEADER				VESSEL											{INT-IMO}9260483	~,~	UNKNOWN	UNKNOWN	E					2025/10/24			EUFSR-RUS~EUFSR-RUS-VES
6705169	Primary	ARMADA EXPLORER				VESSEL											{INT-IMO}9377042	~,~	UNKNOWN	UNKNOWN	E					2025/08/08			EUFSR-RUS~EUFSR-RUS-VES
6757633	Primary	SANRAYZ				VESSEL											{INT-IMO}8862935	~,~	UNKNOWN	UNKNOWN	E					2026/04/24			EUFSR-RUS~EUFSR-RUS-VES
6759251	Primary	NIZAMI GANJAVI				VESSEL											{INT-IMO}9369617	~,~	UNKNOWN	UNKNOWN	E					2025/08/08			EUFSR-RUS~EUFSR-RUS-VES
6760837	Primary	GENERAL SKOBELEV				VESSEL											{INT-IMO}9503304	~,~	UNKNOWN	UNKNOWN	E					2025/10/23			EUFSR-RUS~EUFSR-RUS-VES
6762473	Primary	IVAN KRAMSKOY				VESSEL											{INT-IMO}9640499	~,~	UNKNOWN	UNKNOWN	E					2025/10/23			EUFSR-RUS~EUFSR-RUS-VES
6762509	Primary	VOLGA RIVER				VESSEL											{INT-IMO}9435363	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
6762682	Primary	BAVLY				VESSEL											{INT-IMO}9621560	~,~	UNKNOWN	UNKNOWN	E					2025/10/23			EUFSR-RUS~EUFSR-RUS-VES
6791792	Primary	SERGEY TERSKOV				VESSEL											{INT-IMO}9637961	~,~	UNKNOWN	UNKNOWN	E					2025/08/08			EUFSR-RUS~EUFSR-RUS-VES
6791806	Primary	DMITRY POKROVSKY				VESSEL											{INT-IMO}9683726	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
6812532	Primary	ENISEY				VESSEL											{INT-IMO}9079169	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
6822421	Primary	THORIN				VESSEL											{INT-IMO}9330472	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
6822433	Primary	SURYA				VESSEL											{INT-IMO}9388742	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
6842369	Primary	GRACEP				VESSEL											{INT-IMO}9252967	~,~	UNKNOWN	UNKNOWN	E					2026/04/24			EUFSR-RUS~EUFSR-RUS-VES
6871526	Primary	SOUL				VESSEL											{INT-IMO}9263203	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
6871536	Primary	TEMPEST DREAM				VESSEL											{INT-IMO}9308132	~,~	UNKNOWN	UNKNOWN	E					2025/10/27			EUFSR-RUS~EUFSR-RUS-VES
6920168	Primary	MAIA-1				VESSEL											{INT-IMO}9358010	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
6927318	Primary	LADY R				VESSEL											{INT-IMO}9161003	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
6932090	Primary	ANGARA				VESSEL											{INT-IMO}9179842	~,~	UNKNOWN	UNKNOWN	E					2025/08/04			EUFSR-RUS~EUFSR-RUS-VES
6976421	Primary	LADY LEILA				VESSEL											{INT-IMO}9683740	~,~	UNKNOWN	UNKNOWN	E					2025/12/18			EUFSR-RUS~EUFSR-RUS-VES
6976423	Primary	LADY RANIA				VESSEL											{INT-IMO}9784893	~,~	UNKNOWN	UNKNOWN	E					2025/12/18			EUFSR-RUS~EUFSR-RUS-VES
6976424	Primary	LADY SEVDA				VESSEL											{INT-IMO}9683738	~,~	UNKNOWN	UNKNOWN	E					2025/12/18			EUFSR-RUS~EUFSR-RUS-VES
6990909	Primary	FLANDRIA				VESSEL											{INT-IMO}8414477	~,~	UNKNOWN	UNKNOWN	E					2025/10/23			EUFSR-RUS~EUFSR-RUS-VES
6990915	Primary	MARIA				VESSEL											{INT-IMO}8517839	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
6990990	Primary	RYAZAN				VESSEL											{INT-IMO}8915548	~,~	UNKNOWN	UNKNOWN	E					2025/10/23			EUFSR-RUS~EUFSR-RUS-VES
6990991	Primary	NOYABRSK				VESSEL											{INT-IMO}8915550	~,~	UNKNOWN	UNKNOWN	E					2025/10/23			EUFSR-RUS~EUFSR-RUS-VES
6990992	Primary	BERGEN T				VESSEL											{INT-IMO}8918540	~,~	UNKNOWN	UNKNOWN	E					2025/10/23			EUFSR-RUS~EUFSR-RUS-VES
6991039	Primary	BIRTHE THERESI				VESSEL											{INT-IMO}9083184	~,~	UNKNOWN	UNKNOWN	E					2025/10/23			EUFSR-RUS~EUFSR-RUS-VES
6991055	Primary	ASTORIA				VESSEL											{INT-IMO}9166314	~,~	UNKNOWN	UNKNOWN	E					2026/04/24			EUFSR-RUS~EUFSR-RUS-VES
6991056	Primary	MURMANSK				VESSEL											{INT-IMO}9167930	~,~	UNKNOWN	UNKNOWN	E					2025/12/18			EUFSR-RUS~EUFSR-RUS-VES
6991057	Primary	CILICIA				VESSEL											{INT-IMO}9171175	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
6991070	Primary	OLANGA				VESSEL											{INT-IMO}9286463	~,~	UNKNOWN	UNKNOWN	E					2025/12/18			EUFSR-RUS~EUFSR-RUS-VES
6991071	Primary	KORD ATLANTIC				VESSEL											{INT-IMO}9299161	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
6991072	Primary	SANAR-10				VESSEL											{INT-IMO}9300348	~,~	UNKNOWN	UNKNOWN	E					2026/04/24			EUFSR-RUS~EUFSR-RUS-VES
6991075	Primary	OMSK				VESSEL											{INT-IMO}9418509	~,~	UNKNOWN	UNKNOWN	E					2025/12/18			EUFSR-RUS~EUFSR-RUS-VES
6991076	Primary	GAZPROMNEFT NORDEAST				VESSEL											{INT-IMO}9422653	~,~	UNKNOWN	UNKNOWN	E					2025/12/18			EUFSR-RUS~EUFSR-RUS-VES
6991086	Primary	GAZPROMNEFT ZUID EAST				VESSEL											{INT-IMO}9537109	~,~	UNKNOWN	UNKNOWN	E					2025/10/23			EUFSR-RUS~EUFSR-RUS-VES
6991095	Primary	MATROS POZYNICH				VESSEL											{INT-IMO}9573816	~,~	UNKNOWN	UNKNOWN	E					2025/12/18			EUFSR-RUS~EUFSR-RUS-VES
6991109	Primary	KALUGA				VESSEL											{INT-IMO}9585924	~,~	UNKNOWN	UNKNOWN	E					2025/08/08			EUFSR-RUS~EUFSR-RUS-VES
6991110	Primary	MEGION				VESSEL											{INT-IMO}9590137	~,~	UNKNOWN	UNKNOWN	E					2025/10/23			EUFSR-RUS~EUFSR-RUS-VES
6991132	Primary	SANAR-15				VESSEL											{INT-IMO}9777670	~,~	UNKNOWN	UNKNOWN	E					2025/12/18			EUFSR-RUS~EUFSR-RUS-VES
7005280	Primary	AKHTY				VESSEL											{INT-IMO}9435337	~,~	UNKNOWN	UNKNOWN	E					2025/08/08			EUFSR-RUS~EUFSR-RUS-VES
7006304	Primary	IRTYSH RIVER				VESSEL											{INT-IMO}9435375	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7013889	Primary	KAPITAN GOTSKY				VESSEL											{INT-IMO}9372559	~,~	UNKNOWN	UNKNOWN	E					2025/12/18			EUFSR-RUS~EUFSR-RUS-VES
